motion_id,mean_intra_caption_sim,num_captions
M000202,0.2469659149646759,2
000202,0.2469659149646759,2
M002100,0.3243051767349243,2
002100,0.33067211508750916,2
007403,0.3324624001979828,3
010563,0.33614203333854675,3
M010563,0.3389814794063568,3
M007403,0.3518790006637573,3
000740,0.35962578654289246,3
M000740,0.35962578654289246,3
012075,0.36565646529197693,3
M006823,0.36733460426330566,3
006823,0.3699367940425873,3
M012075,0.37720584869384766,3
M008437,0.3799531161785126,3
007201,0.3813258409500122,2
008437,0.3848019540309906,3
M007479,0.3879130780696869,3
007479,0.3879130780696869,3
M006241,0.3881281316280365,3
M006860,0.39445868134498596,3
M003235,0.3956909477710724,3
006241,0.3958020508289337,3
001380,0.397907018661499,3
008170,0.39835119247436523,3
006860,0.3986609876155853,3
008636,0.3991003930568695,3
M008636,0.3991003930568695,3
006079,0.3991379141807556,2
013070,0.3998551070690155,3
M013070,0.39988502860069275,3
M008544,0.4001382887363434,3
M007201,0.40027162432670593,2
008544,0.4007894992828369,3
M008170,0.4017888009548187,3
008333,0.4043039381504059,3
014306,0.40441736578941345,3
013052,0.4053613245487213,3
M013052,0.4065515995025635,3
M014306,0.40664246678352356,3
M001380,0.4068141281604767,3
M006079,0.40948039293289185,2
M010575,0.41092586517333984,3
003235,0.4121653735637665,3
M008333,0.41330501437187195,3
M012354,0.4137847125530243,3
012354,0.4137847423553467,3
M005463,0.4146516025066376,3
005463,0.4146516025066376,3
006022,0.4151187241077423,3
M006022,0.41640910506248474,3
009299,0.41799572110176086,3
M014191,0.4211972653865814,3
M003533,0.4215336740016937,3
002984,0.4216136038303375,3
M002984,0.4220724105834961,3
M009299,0.4221036434173584,3
006709,0.42414674162864685,3
M006709,0.42419207096099854,3
010575,0.4244900643825531,3
014191,0.42468440532684326,3
M012356,0.42514708638191223,3
000575,0.4290038049221039,3
M000575,0.4290038049221039,3
004615,0.43050000071525574,3
003533,0.43056389689445496,3
012356,0.4310779869556427,3
M009572,0.43112310767173767,3
009572,0.43320050835609436,3
M004615,0.43454086780548096,3
004404,0.4358086585998535,3
M004404,0.4360114634037018,3
M011419,0.439777135848999,3
011419,0.44025471806526184,3
011278,0.4405338764190674,3
M011278,0.4405338764190674,3
006780,0.4405374526977539,3
M004168,0.440692663192749,2
M009727,0.4434000551700592,3
006313,0.44485223293304443,3
M006780,0.44629570841789246,3
M008173,0.4463355243206024,3
012226,0.4468958377838135,2
M012226,0.4468958377838135,2
002920,0.4472249448299408,3
M010746,0.4472847878932953,3
010746,0.4472847878932953,3
M006313,0.4474944770336151,3
M007162,0.4481312334537506,3
M008549,0.4483974874019623,3
008173,0.4487161338329315,3
M007928,0.4490538537502289,3
013508,0.4492950439453125,3
000604,0.4500071108341217,3
M000604,0.4500071108341217,3
M013826,0.4500257074832916,3
M013508,0.45117148756980896,3
003736,0.45140185952186584,3
013826,0.4515491724014282,3
M012923,0.4519785940647125,3
M014373,0.452025443315506,3
014373,0.45202550292015076,3
007355,0.4520736634731293,3
008442,0.45307326316833496,3
M013126,0.4535416066646576,3
M011412,0.4536478817462921,2
009727,0.4538479745388031,3
012923,0.4539155960083008,3
004168,0.4539880156517029,2
007450,0.4546518325805664,3
004087,0.45474961400032043,3
004908,0.4552019536495209,3
M004908,0.4552019536495209,3
M002920,0.4554707109928131,3
012353,0.4556672275066376,3
M003736,0.4558541774749756,3
011412,0.45651912689208984,2
011873,0.4568382203578949,3
M011873,0.4568382203578949,3
013126,0.4571087658405304,3
M008442,0.4572293758392334,3
M004087,0.457904577255249,3
012407,0.4579710066318512,3
M012353,0.4579864740371704,3
M003549,0.4581163823604584,3
003549,0.45811644196510315,3
M012407,0.45812737941741943,3
000340,0.4583910405635834,3
008549,0.4587390720844269,3
004303,0.45917531847953796,3
007162,0.45955321192741394,3
005741,0.4609130322933197,3
M000340,0.4609169065952301,3
M004303,0.4611192047595978,3
M007450,0.4612286388874054,3
M014238,0.461503267288208,3
014238,0.461503267288208,3
M005741,0.46206727623939514,3
M008095,0.4623068571090698,3
008095,0.4623068571090698,3
M008496,0.4624834358692169,3
008496,0.4624834358692169,3
007928,0.46330705285072327,3
002009,0.4639481008052826,3
M002734,0.46411097049713135,3
M007047,0.46429768204689026,3
007047,0.46458497643470764,3
008867,0.46472227573394775,3
003401,0.46479350328445435,2
M010853,0.4651053845882416,3
M003401,0.4651612639427185,2
M008867,0.4654653072357178,3
M012577,0.465639591217041,3
012577,0.46631160378456116,3
M002419,0.46725359559059143,3
M012861,0.4673076570034027,3
M007273,0.46733927726745605,3
007273,0.46733927726745605,3
006797,0.46820831298828125,3
M006797,0.46820831298828125,3
002419,0.4686930179595947,3
002734,0.46917665004730225,3
001541,0.46962547302246094,3
M001541,0.46962547302246094,3
M008236,0.47040820121765137,3
010853,0.47106561064720154,3
001351,0.47134411334991455,3
M010008,0.47165536880493164,3
002988,0.47189560532569885,3
M002988,0.47189566493034363,3
M001850,0.47194424271583557,3
M001351,0.4722226858139038,3
M011907,0.4729066789150238,3
010008,0.47305211424827576,3
008236,0.47323688864707947,3
M009563,0.47327283024787903,2
009563,0.4732728898525238,2
M007355,0.47376549243927,3
003179,0.47382569313049316,2
M003179,0.4738258123397827,2
M009414,0.4740849733352661,3
009414,0.4740849733352661,3
M011241,0.4751732349395752,3
M000661,0.4751737117767334,3
000661,0.4751737117767334,3
011303,0.47588232159614563,3
007446,0.4759427607059479,3
004678,0.4762912094593048,3
M008595,0.47645434737205505,3
007718,0.47665834426879883,3
M007718,0.47665834426879883,3
M007446,0.4771192967891693,3
M004678,0.47797122597694397,3
004970,0.4781918525695801,3
001850,0.4782375991344452,3
M004846,0.47848209738731384,3
004846,0.47848209738731384,3
M011676,0.47865191102027893,3
011676,0.47865191102027893,3
011755,0.47965702414512634,3
M008094,0.4797305166721344,3
008094,0.4797305166721344,3
000794,0.47985777258872986,3
M000794,0.48034989833831787,3
012861,0.48037847876548767,3
008595,0.4804181158542633,3
010705,0.48041942715644836,3
M006533,0.48154231905937195,3
M005918,0.48162606358528137,3
005918,0.48162606358528137,3
M009217,0.48174476623535156,3
M011755,0.48190104961395264,3
M010343,0.4820547103881836,3
011907,0.48217132687568665,3
001134,0.48236921429634094,3
M014550,0.4827280044555664,3
011794,0.48280540108680725,3
012508,0.4833633005619049,3
M012508,0.4833633005619049,3
M012979,0.4839530885219574,3
M005971,0.48395875096321106,3
M011152,0.4844972789287567,3
M011303,0.48458027839660645,3
M011077,0.48463138937950134,3
010343,0.4849282205104828,3
011152,0.4850176274776459,3
M004970,0.48511210083961487,3
M010693,0.48563626408576965,3
M007502,0.48571205139160156,3
M011794,0.48591604828834534,3
008401,0.4860072433948517,3
001680,0.48629435896873474,3
012979,0.4863012731075287,3
M012342,0.48640573024749756,3
M009437,0.48643994331359863,3
013705,0.48648107051849365,3
011077,0.4865083694458008,3
M006107,0.486551433801651,3
006107,0.48655152320861816,3
M011040,0.4866900146007538,2
006414,0.4868290424346924,3
M002896,0.48712587356567383,3
008974,0.48726847767829895,3
006533,0.4872863292694092,3
M001134,0.4873310327529907,3
009217,0.48741415143013,3
M002804,0.48790159821510315,3
002804,0.4879016578197479,3
010693,0.4879155457019806,3
008440,0.48808884620666504,3
M008440,0.48808884620666504,3
012518,0.48815295100212097,3
M012518,0.48815295100212097,3
M010861,0.48879992961883545,3
010861,0.48879992961883545,3
014015,0.4892984628677368,3
M014015,0.4892984628677368,3
M013661,0.48945847153663635,3
M005848,0.4894942343235016,3
005848,0.48949429392814636,3
M008401,0.48965343832969666,3
005971,0.48980021476745605,3
M011421,0.49002930521965027,3
011421,0.49002933502197266,3
M002009,0.4903157651424408,3
002896,0.4903710186481476,3
014550,0.49046483635902405,3
007502,0.49054035544395447,3
M009400,0.4906322956085205,3
011241,0.4907597005367279,3
002016,0.491009384393692,3
001226,0.4912092685699463,3
M001226,0.4912092983722687,3
012342,0.49130478501319885,3
001575,0.4913116991519928,3
M001575,0.4913116991519928,3
M007091,0.4914279878139496,3
007091,0.4914279878139496,3
M009750,0.4920245409011841,3
009750,0.4920245409011841,3
M002353,0.4922066032886505,3
002353,0.4922066628932953,3
M003965,0.49235963821411133,3
M006414,0.49261394143104553,3
007541,0.4927561581134796,3
M008974,0.49279820919036865,3
M014197,0.49330008029937744,3
M002088,0.49373897910118103,3
014197,0.49437618255615234,3
009793,0.49452510476112366,3
009400,0.4945790767669678,3
M002016,0.4947430193424225,3
009437,0.4952331483364105,3
M010705,0.4954864978790283,3
M000344,0.49562057852745056,3
M008121,0.49610891938209534,3
M007541,0.49624523520469666,3
M014435,0.49632295966148376,3
M001756,0.4964071810245514,3
M005755,0.4964672327041626,3
M001323,0.49662503600120544,3
001323,0.49662506580352783,3
M012881,0.49665260314941406,3
003965,0.49666714668273926,3
M004878,0.4968738853931427,3
014435,0.4968998432159424,3
M006764,0.49734005331993103,3
006764,0.4976698160171509,3
008121,0.49774739146232605,3
M008635,0.49852991104125977,3
012325,0.49863123893737793,3
